collision_time,victims,influence_of_alcohol,influence_of_drug,death,sleepy_fatigued
0,46968,19737,808,511,1034
1,42414,23061,782,518,1346
2,45207,27454,679,615,1754
3,25123,14806,491,405,1787
4,18829,8363,426,345,1712
5,27941,4852,346,282,1595
6,51214,3670,407,289,1576
7,126846,3732,575,240,1412
8,120204,3405,617,225,1076
9,106057,2875,512,243,621
10,117678,3291,558,250,475
11,136318,3812,553,309,444
12,158339,4513,665,354,464
13,168222,5241,760,347,636
14,187982,6426,766,391,942
15,218078,8094,705,412,1253
16,197052,9569,763,397,1150
17,209540,12266,803,394,1026
18,190178,14423,836,408,730
19,143103,14793,861,399,492
20,111596,16377,864,411,421
21,99143,17924,901,399,430
22,84177,19526,968,449,655
23,65843,19831,848,415,864
